yyyy.mm	puri_sales_count	ad_mass	ad_promotion	people_total	invest_launch_ratio	lease_sales
2015.01	776041.3889	13683310	20112485	1470	13927495.5	0
2015.02	764209.2968	12833930	23578789	1404	13927495.5	0
2015.03	840044.7196	32706864	63586536	1514	13927495.5	0
2015.04	846782.6725	19934660	56279152	1464	13927495.5	0
2015.05	842444.7986	17406530	27711350	1464	13927495.5	0
2015.06	838646.6403	15451185	36322732	1402	13927495.5	0
2015.07	825472.2577	12278661	73829053	1499	13927495.5	0
2015.08	816355.1292	16405940	50756601	1589	13927495.5	0
2015.09	809898.2517	22392770	75958286	1535	13927495.5	0
2015.10	820003.4787	20963022	82554827	1526	13927495.5	0
2015.11	822271.3452	17454222	44953598	1451	13927495.5	0
2015.12	825266.2164	27675697	518178310	1433	13927495.5	0
2016.01	767572.7145	16458688	36380430	1577	2930129.604	0
2016.02	777297.2164	12877513	58292258	1486	2930129.604	0
2016.03	789947.9521	29189502	74478038	1680	2930129.604	0
2016.04	827537.4702	12116910	48835227	1807	2930129.604	0
2016.05	795292.0531	11287269	154882375	1810	2930129.604	0
2016.06	789806.3017	69671074	175775417	1716	2930129.604	0
2016.07	868566.5062	589786347	151831027	2082	2930129.604	0
2016.08	865712.6334	918821347	323032483	2135	2930129.604	0
2016.09	893583.7783	883822040	314084552	2051	2930129.604	0
2016.10	859923.9127	569852186	216349915	1945	2930129.604	0
2016.11	856971.9441	613792606	224098418	1974	2930129.604	0
2016.12	860002.5827	841408105	326589117	2232	2930129.604	0
2017.01	738963.6316	556250373	335830099	1735	6083946.708	0
2017.02	758791.8722	736964175	283709184	1847	6083946.708	0
2017.03	776124.098	745064126	267864902	1819	6083946.708	0
2017.04	781833.255	1509140693	379258185	1845	6083946.708	0
2017.05	784790.0632	908468350	165453246	1886	6083946.708	0
2017.06	795906.3566	800261555	190295371	1899	6083946.708	0
2017.07	836622.3924	1096166020	166906503	1913	6083946.708	0
2017.08	836214.003	739769659	270059217	1873	6083946.708	0
2017.09	817130.3924	1452561546	192794934	2231	6083946.708	0
2017.10	802550.9131	772588209	125325211	1995	6083946.708	0
2017.11	814477.8096	27738154	173634334	2158	6083946.708	0
