yyyy.mm	puri_sales_count	ad_mass	ad_promotion	invest_launch_ratio
2015.01	1553631.5	13683310	20112485	13927495.5
2015.02	919952.0069	12833930	23578789	13927495.5
2015.03	1138022.763	32706864	63586536	13927495.5
2015.04	954320.8668	19934660	56279152	13927495.5
2015.05	868061.8799	17406530	27711350	13927495.5
2015.06	729232.1709	15451185	36322732	13927495.5
2015.07	918554.524	12278661	73829053	13927495.5
2015.08	1054240.73	16405940	50756601	13927495.5
2015.09	908427.7412	22392770	75958286	13927495.5
2015.10	1010395.047	20963022	82554827	13927495.5
2015.11	927171.3301	17454222	44953598	13927495.5
2015.12	1091609.852	27675697	518178310	13927495.5
2016.01	1047970.953	16458688	36380430	2930129.604
2016.02	1112787.149	12877513	58292258	2930129.604
2016.03	968912.4213	29189502	74478038	2930129.604
2016.04	1110300.807	12116910	48835227	2930129.604
2016.05	1111972.934	11287269	154882375	2930129.604
2016.06	988205.3398	69671074	175775417	2930129.604
2016.07	878834.3626	589786347	151831027	2930129.604
2016.08	808860.4383	918821347	323032483	2930129.604
2016.09	821792.2435	883822040	314084552	2930129.604
2016.10	837175.8583	569852186	216349915	2930129.604
2016.11	815314.2837	613792606	224098418	2930129.604
2016.12	1036262.611	841408105	326589117	2930129.604
2017.01	961472.8164	556250373	335830099	6083946.708
2017.02	884306.0202	736964175	283709184	6083946.708
2017.03	791971.1299	745064126	267864902	6083946.708
2017.04	773545.4083	1509140693	379258185	6083946.708
2017.05	739103.0138	908468350	165453246	6083946.708
2017.06	739555.946	800261555	190295371	6083946.708
2017.07	823533.5788	1096166020	166906503	6083946.708
2017.08	788653.6736	739769659	270059217	6083946.708
2017.09	806133.4298	1452561546	192794934	6083946.708
2017.10	809746.519	772588209	125325211	6083946.708
2017.11	829376.4685	27738154	173634334	6083946.708
2017.12	824042.3037	779319322	138437483	6083946.708
2018.01	1045031.357	836783121	143323437	3780306.967
2018.02	1206065.382	52118075	197878862	3780306.967
2018.03	792162.3608	104890664	209464867	3780306.967
2018.04	805489.4781	170112582	236206175	3780306.967
2018.05	861230.1878	138770263	220798736	3780306.967
2018.06	831005.9384	153492893	182000593	3780306.967
2018.07	875957.0479	148842417	225810849	3780306.967
2018.08	893864.4334	134193018	221765824	3780306.967
2018.09	893194.255	93724711	301437404	3780306.967
2018.10	868770.1332	92489426	262216773	3780306.967
2018.11	856023.1762	116823993	300560297	3780306.967
2018.12	812453.4725	118956247	294930057	3780306.967
2019.01	813739.2173	149842716	192482697	8527857.667
2019.02	1109977.413	119801105	258752680	8527857.667
2019.03	1068189.66	133492388	397704173	8527857.667
2019.04	1008015.691	120536113	428455834	8527857.667
2019.05	992029.6527	188566551	395920028	8527857.667
2019.06	998322.9546	169683025	325736808	8527857.667
2019.07	1014040.424	122682446	226738705	8527857.667
2019.08	1007339.377	130740684	431068157	8527857.667
2019.09	1060788.898	148501948	363979962	8527857.667
2019.10	1098461.43	101107262	306329965	8527857.667
2019.11	1046611.63	98438198	341971618	8527857.667
2019.12	1021176.101	626221878	472690840	8527857.667
2020.01	998905.9244	140681855	274223037	6061989.963
2020.02	990036.0585	208368212	252923793	6061989.963
2020.03	1004699.191	195591024	405598852	6061989.963
2020.04	975831.8254	495348719	243544543	6061989.963
2020.05	945116.305	47732813	252296953	6061989.963
2020.06	928589.6885	314268036	228559747	6061989.963
2020.07	867486.3104	1152474461	203275531	6061989.963
2020.08	887406.6362	514976542	146971600	6061989.963
2020.09	845094.0045	34623700	202167677	6061989.963
2020.10	794937.0479	47512352	110005116	6061989.963
2020.11	821927.8696	38214615	159058032	6061989.963
2020.12	828972.8318	555517143	178329149	6061989.963
2021.01	832930.6117	232970000	82500070	14369440.33
2021.02	845244.8954	253155060	120531689	14369440.33
2021.03	868028.3008	79432510	159688633	14369440.33
2021.04	809729.2687	118646725	177997824	14369440.33
2021.05	758317.0624	79884100	141936402	14369440.33
2021.06	768793.4099	9632313	151158785	14369440.33
2021.07	759510.1261	24310000	150886812	14369440.33
2021.08	778761.4243	28196500	113118097	14369440.33
2021.09	755348.3477	20687500	146914318	14369440.33
2021.10	746036.9959	21380500	121356968	14369440.33
2021.11	733415.6855	24625500	143727130	14369440.33
2021.12	709883.8897	460254700	185205369	14369440.33
2022.01	779705.3707	58518050	123042501	19107831.39
2022.02	755502.9177	12845767	170073986	19107831.39
2022.03	725237.0313	8970906	149492050	19107831.39
2022.04	740321.893	68790000	171211012	19107831.39
2022.05	813377.8138	15066000	159854085	19107831.39
2022.06	927816.82	18335122	117705897	19107831.39
2022.07	929256.8518	37671000	155046772	19107831.39
2022.08	906377.886	35031000	139607707	19107831.39
2022.09	818311.5	14336140	154692545	19107831.39
2022.10	828840.1029	23324033	150778056	19107831.39
2022.11	829648.1171	26693000	138098139	19107831.39
2022.12	844641.3492	12581938	207799322	19107831.39
2023.01	873758.9711	20777300	162547645	6933731.567
2023.02	894971.9761	13187585	120969050	6933731.567
2023.03	863954.4611	270872095	157012107	6933731.567
2023.04	916344.1663	286093257	185571948	6933731.567
2023.05	1107684.85	227521090	183443324	6933731.567
2023.06	1074673.183	202849730	202854227	6933731.567
2023.07	1042726.894	132270137	230044650	6933731.567
2023.08	996423.8871	97263266	143347731	6933731.567
2023.09	1024397.035	419167620	192193811	6933731.567
2023.10	1022253.421	206128784	164927114	6933731.567
2023.11	953289.3579	122958391	171866397	6933731.567
2023.12	989685.9098	90239471	232647614	6933731.567
2024.01	961601.2375	114155344	202622434	26737379.29
2024.02	899826.1863	278734930	161994251	26737379.29
2024.03	924488.6614	149604673	133077682	26737379.29
2024.04	1067604.185	526309446	161163259	26737379.29
2024.05	1024255.325	193872519	180586649	26737379.29
2024.06	1075284.346	144791231	176854816	26737379.29
2024.07	1078735.346	83532383	219753118	26737379.29
2024.08	1123642.094	161434726	202944813	26737379.29
2024.09	1063292.398	162607956	190098033	26737379.29
2024.10	1069183.234	71236750	149718349	26737379.29
2024.11	1075720.434	112929957	212037248	26737379.29
2024.12	1033171.183	80910965	182327815	26737379.29
