year	purifier_grow	ad_mass	ad_promotion	people_M	people_P	people_total	launch_number	operate_number	investment_cost	labor_cost	lease_count	water_size
2015 	6464 	208786791 	1073921719 	0 	0 	17751 	1 	0 	167129946 	0 	0 	6.22E+11
2016 	24274 	153942257 	4562200999 	0 	0 	22495 	4 	0 	140646221 	0 	0 	8.47572E+11
2017 	36200 	1158565590 	5665530375 	0 	0 	23237 	2 	0 	146014721 	0 	0 	1.15495E+12
2018 	12735 	4733887011 	4434286094 	0 	0 	23655 	5 	0 	226818418 	0 	16449 	1.5738E+12
2019 	26234 	8732633834 	3780452835 	28515 	0 	28515 	6 	40 	614005752 	31302637169 	51596 	1.69E+12
2020 	19219 	3833409472 	3821932135 	33174 	0 	33174 	9 	42 	654694916 	34342494354 	46081 	1.77E+12
2021 	14608 	4702972438 	2109003419 	30944 	19 	30963 	5 	57 	862166420 	33087334982 	37014 	2.12E+12
2022 	19143 	415662956 	2102036879 	24978 	4140 	29118 	3 	47 	687881930 	32179047300 	26260 	2.36E+12
2023 	24448 	2147575546 	2327196480 	17307 	7058 	24365 	5 	55 	416023894 	30608508397 	30382 	2.74E+12
2024 	11746 	2080759280 	2311233012 	15711 	8163 	23874 	2 	48 	641697103 	28541495716 	27497 	3.17E+12
