yyyy.mm	puri_grow_new_team	ad_mass	ad_promotion	invest_launch_ratio
2015.01	54	13683310	20112485	13927495.5
2015.02	144	12833930	23578789	13927495.5
2015.03	991	32706864	63586536	13927495.5
2015.04	413	19934660	56279152	13927495.5
2015.05	433	17406530	27711350	13927495.5
2015.06	357	15451185	36322732	13927495.5
2015.07	271	12278661	73829053	13927495.5
2015.08	211	16405940	50756601	13927495.5
2015.09	170	22392770	75958286	13927495.5
2015.1	428	20963022	82554827	13927495.5
2015.11	209	17454222	44953598	13927495.5
2015.12	209	27675697	518178310	13927495.5
2016.01	234	16458688	36380430	2930129.604
2016.02	349	12877513	58292258	2930129.604
2016.03	216	29189502	74478038	2930129.604
2016.04	285	12116910	48835227	2930129.604
2016.05	394	11287269	154882375	2930129.604
2016.06	259	69671074	175775417	2930129.604
2016.07	1070	589786347	151831027	2930129.604
2016.08	1636	918821347	323032483	2930129.604
2016.09	2374	883822040	314084552	2930129.604
2016.1	1806	569852186	216349915	2930129.604
2016.11	1639	613792606	224098418	2930129.604
2016.12	3653	841408105	326589117	2930129.604
2017.01	2086	556250373	335830099	6083946.708
2017.02	2182	736964175	283709184	6083946.708
2017.03	1956	745064126	267864902	6083946.708
2017.04	1984	1509140693	379258185	6083946.708
2017.05	1959	908468350	165453246	6083946.708
2017.06	2018	800261555	190295371	6083946.708
2017.07	2184	1096166020	166906503	6083946.708
2017.08	1480	739769659	270059217	6083946.708
2017.09	1147	1452561546	192794934	6083946.708
2017.1	684	772588209	125325211	6083946.708
2017.11	730	27738154	173634334	6083946.708
2017.12	629	779319322	138437483	6083946.708
2018.01	530	836783121	143323437	3780306.967
2018.02	502	52118075	197878862	3780306.967
2018.03	632	104890664	209464867	3780306.967
2018.04	594	170112582	236206175	3780306.967
2018.05	703	138770263	220798736	3780306.967
2018.06	601	153492893	182000593	3780306.967
2018.07	584	148842417	225810849	3780306.967
2018.08	676	134193018	221765824	3780306.967
2018.09	549	93724711	301437404	3780306.967
2018.1	518	92489426	262216773	3780306.967
2018.11	471	116823993	300560297	3780306.967
2018.12	510	118956247	294930057	3780306.967
2019.01	649	149842716	192482697	8527857.667
2019.02	941	119801105	258752680	8527857.667
2019.03	1277	133492388	397704173	8527857.667
2019.04	1113	120536113	428455834	8527857.667
2019.05	982	188566551	395920028	8527857.667
2019.06	1013	169683025	325736808	8527857.667
2019.07	1013	122682446	226738705	8527857.667
2019.08	1070	130740684	431068157	8527857.667
2019.09	862	148501948	363979962	8527857.667
2019.1	934	101107262	306329965	8527857.667
2019.11	1188	98438198	341971618	8527857.667
2019.12	1243	626221878	472690840	8527857.667
2020.01	1124	140681855	274223037	6061989.963
2020.02	1197	208368212	252923793	6061989.963
2020.03	1007	195591024	405598852	6061989.963
2020.04	1048	495348719	243544543	6061989.963
2020.05	1105	47732813	252296953	6061989.963
2020.06	1342	314268036	228559747	6061989.963
2020.07	1369	1152474461	203275531	6061989.963
2020.08	1421	514976542	146971600	6061989.963
2020.09	1567	34623700	202167677	6061989.963
2020.1	1420	47512352	110005116	6061989.963
2020.11	1549	38214615	159058032	6061989.963
2020.12	1570	555517143	178329149	6061989.963
2021.01	1522	232970000	82500070	14369440.33
2021.02	1233	253155060	120531689	14369440.33
2021.03	1662	79432510	159688633	14369440.33
2021.04	1414	118646725	177997824	14369440.33
2021.05	1186	79884100	141936402	14369440.33
2021.06	1410	9632313	151158785	14369440.33
2021.07	1316	24310000	150886812	14369440.33
2021.08	1334	28196500	113118097	14369440.33
2021.09	1231	20687500	146914318	14369440.33
2021.1	1228	21380500	121356968	14369440.33
2021.11	1415	24625500	143727130	14369440.33
2021.12	1441	460254700	185205369	14369440.33
2022.01	1489	58518050	123042501	19107831.39
2022.02	1494	12845767	170073986	19107831.39
2022.03	1406	8970906	149492050	19107831.39
2022.04	1364	68790000	171211012	19107831.39
2022.05	1445	15066000	159854085	19107831.39
2022.06	1439	18335122	117705897	19107831.39
2022.07	1478	37671000	155046772	19107831.39
2022.08	1456	35031000	139607707	19107831.39
2022.09	1286	14336140	154692545	19107831.39
2022.1	1215	23324033	150778056	19107831.39
2022.11	1290	26693000	138098139	19107831.39
2022.12	1389	12581938	207799322	19107831.39
2023.01	1454	20777300	162547645	6933731.567
2023.02	1587	13187585	120969050	6933731.567
2023.03	1594	270872095	157012107	6933731.567
2023.04	1678	286093257	185571948	6933731.567
2023.05	1500	227521090	183443324	6933731.567
2023.06	1632	202849730	202854227	6933731.567
2023.07	1682	132270137	230044650	6933731.567
2023.08	1585	97263266	143347731	6933731.567
2023.09	1440	419167620	192193811	6933731.567
2023.1	1324	206128784	164927114	6933731.567
2023.11	1439	122958391	171866397	6933731.567
2023.12	1464	90239471	232647614	6933731.567
2024.01	1541	114155344	202622434	26737379.29
2024.02	1557	278734930	161994251	26737379.29
2024.03	1701	149604673	133077682	26737379.29
2024.04	1720	526309446	161163259	26737379.29
2024.05	2106	193872519	180586649	26737379.29
2024.06	1993	144791231	176854816	26737379.29
2024.07	2148	83532383	219753118	26737379.29
2024.08	2251	161434726	202944813	26737379.29
2024.09	1859	162607956	190098033	26737379.29
2024.1	1806	71236750	149718349	26737379.29
2024.11	1776	112929957	212037248	26737379.29
2024.12	1697	80910965	182327815	26737379.29
