yyyy.mm	puri_grow_sales	ad_mass	ad_promotion	people_total	invest_launch_ratio	lease_sales
2015.01	3480545629	13683310	20112485	1470	13927495.5	0
2015.02	2703772492	12833930	23578789	1404	13927495.5	0
2015.03	4392593839	32706864	63586536	1514	13927495.5	0
2015.04	4222905188	19934660	56279152	1464	13927495.5	0
2015.05	4234127558	17406530	27711350	1464	13927495.5	0
2015.06	3798230634	15451185	36322732	1402	13927495.5	0
2015.07	4750592843	12278661	73829053	1499	13927495.5	0
2015.08	4461380781	16405940	50756601	1589	13927495.5	0
2015.09	4330525952	22392770	75958286	1535	13927495.5	0
2015.10	4145117585	20963022	82554827	1526	13927495.5	0
2015.11	3473274162	17454222	44953598	1451	13927495.5	0
2015.12	3646026144	27675697	518178310	1433	13927495.5	0
2016.01	4234698666	16458688	36380430	1577	2930129.604	0
2016.02	3842957438	12877513	58292258	1486	2930129.604	0
2016.03	3580834067	29189502	74478038	1680	2930129.604	0
2016.04	4459599427	12116910	48835227	1807	2930129.604	0
2016.05	5177351266	11287269	154882375	1810	2930129.604	0
2016.06	4775168900	69671074	175775417	1716	2930129.604	0
2016.07	10614751272	589786347	151831027	2082	2930129.604	0
2016.08	8777460390	918821347	323032483	2135	2930129.604	0
2016.09	8574829937	883822040	314084552	2051	2930129.604	0
2016.10	6116638791	569852186	216349915	1945	2930129.604	0
2016.11	5716859839	613792606	224098418	1974	2930129.604	0
2016.12	5748257263	841408105	326589117	2232	2930129.604	0
2017.01	5662678309	556250373	335830099	1735	6083946.708	0
2017.02	5948169486	736964175	283709184	1847	6083946.708	0
2017.03	5924155240	745064126	267864902	1819	6083946.708	0
2017.04	5252355807	1509140693	379258185	1845	6083946.708	0
2017.05	5218853920	908468350	165453246	1886	6083946.708	0
2017.06	5473448014	800261555	190295371	1899	6083946.708	0
2017.07	5479876670	1096166020	166906503	1913	6083946.708	0
2017.08	4471236274	739769659	270059217	1873	6083946.708	0
2017.09	4225381259	1452561546	192794934	2231	6083946.708	0
2017.10	3186929676	772588209	125325211	1995	6083946.708	0
2017.11	3665964621	27738154	173634334	2158	6083946.708	0
2017.12	3471207481	779319322	138437483	2036	6083946.708	0
2018.01	3951185922	836783121	143323437	1847	3780306.967	3577919736
2018.02	3148610461	52118075	197878862	1722	3780306.967	3577919736
2018.03	4605090764	104890664	209464867	2293	3780306.967	3577919736
2018.04	4000633935	170112582	236206175	2091	3780306.967	363796572 
2018.05	4195232633	138770263	220798736	1947	3780306.967	1399590161 
2018.06	4040252736	153492893	182000593	2317	3780306.967	3155512286 
2018.07	4237979894	148842417	225810849	1914	3780306.967	2368597583 
2018.08	5298861510	134193018	221765824	2126	3780306.967	1889678689 
2018.09	4764597487	93724711	301437404	2089	3780306.967	2190569508 
2018.10	5511671593	92489426	262216773	1781	3780306.967	3813845652 
2018.11	4177399381	116823993	300560297	1707	3780306.967	14284837941 
2018.12	3251274162	118956247	294930057	1821	3780306.967	2734849231 
2019.01	3332817870	149842716	192482697	1679	8527857.667	2655373742
2019.02	4077437332	119801105	258752680	1805	8527857.667	1974767558
2019.03	4559459654	133492388	397704173	2350	8527857.667	2999332818
2019.04	4938276674	120536113	428455834	2231	8527857.667	6794412445
2019.05	5952936799	188566551	395920028	2332	8527857.667	7255525168
2019.06	5930017875	169683025	325736808	2212	8527857.667	8462546816
2019.07	6518326520	122682446	226738705	2310	8527857.667	8032807332
2019.08	6265473573	130740684	431068157	2200	8527857.667	6488693651
2019.09	6401785180	148501948	363979962	2208	8527857.667	4940235486
2019.10	6219679418	101107262	306329965	2940	8527857.667	6277383225
2019.11	6454886064	98438198	341971618	3133	8527857.667	5821535966
2019.12	6889600644	626221878	472690840	3115	8527857.667	5762704197
2020.01	6630131045	140681855	274223037	3143	6061989.963	4097264650
2020.02	6058647590	208368212	252923793	3171	6061989.963	3414968931
2020.03	6327563584	195591024	405598852	2972	6061989.963	3869856293
2020.04	6829326665	495348719	243544543	2864	6061989.963	5141693625
2020.05	7256872142	47732813	252296953	2909	6061989.963	5499653533
2020.06	8089889350	314268036	228559747	2926	6061989.963	6253400057
2020.07	7692623193	1152474461	203275531	2731	6061989.963	5172184178
2020.08	6867172801	514976542	146971600	2584	6061989.963	4660629950
2020.09	6153325690	34623700	202167677	2453	6061989.963	4848724712
2020.10	6521987788	47512352	110005116	2428	6061989.963	4131225953
2020.11	6441446648	38214615	159058032	2448	6061989.963	4097775405
2020.12	5501210702	555517143	178329149	2545	6061989.963	5110180350
2021.01	6223267727	232970000	82500070	2375	14369440.33	3589126468
2021.02	6311571189	253155060	120531689	2433	14369440.33	3448442859
2021.03	8610019630	79432510	159688633	2566	14369440.33	4211035379
2021.04	6277970224	118646725	177997824	2556	14369440.33	4613717559
2021.05	7846035577	79884100	141936402	2524	14369440.33	4810575184
2021.06	7480230018	9632313	151158785	2584	14369440.33	6323406678
2021.07	7724313546	24310000	150886812	2531	14369440.33	5635003959
2021.08	6428650444	28196500	113118097	2590	14369440.33	4886985493
2021.09	5126432434	20687500	146914318	2473	14369440.33	4262453450
2021.10	6345773700	21380500	121356968	2775	14369440.33	2784107749
2021.11	5268307965	24625500	143727130	2806	14369440.33	3058082573
2021.12	6169483180	460254700	185205369	2750	14369440.33	2616426057
2022.01	7763348307	58518050	123042501	2812	19107831.39	1860839534
2022.02	6146349674	12845767	170073986	2899	19107831.39	1756405770
2022.03	6110127966	8970906	149492050	2952	19107831.39	1605923602
2022.04	6111424118	68790000	171211012	2337	19107831.39	1720517666
2022.05	6706769107	15066000	159854085	2160	19107831.39	2078332823
2022.06	6339072105	18335122	117705897	2216	19107831.39	1838069806
2022.07	7638623489	37671000	155046772	2375	19107831.39	1849158310
2022.08	6771143250	35031000	139607707	2116	19107831.39	1788197203
2022.09	6039961779	14336140	154692545	2150	19107831.39	2162268051
2022.10	5209929319	23324033	150778056	2272	19107831.39	1780704886
2022.11	4792647502	26693000	138098139	2578	19107831.39	1846430233
2022.12	5702898486	12581938	207799322	2251	19107831.39	1800231269
2023.01	5418483095	20777300	162547645	2094	6933731.567	1409232574
2023.02	5729617605	13187585	120969050	2077	6933731.567	1622849966
2023.03	6133997695	270872095	157012107	2039	6933731.567	1670204397
2023.04	6014664653	286093257	185571948	2114	6933731.567	1435483521
2023.05	6369339485	227521090	183443324	1979	6933731.567	1923818998
