yyyy.mm	puri_grow_sales_new_team	ad_mass	ad_promotion	invest_launch_ratio
2015.01	83896101	13683310	20112485	13927495.5
2015.02	132473089	12833930	23578789	13927495.5
2015.03	1127780558	32706864	63586536	13927495.5
2015.04	394134518	19934660	56279152	13927495.5
2015.05	375870794	17406530	27711350	13927495.5
2015.06	260335885	15451185	36322732	13927495.5
2015.07	248928276	12278661	73829053	13927495.5
2015.08	222444794	16405940	50756601	13927495.5
2015.09	154432716	22392770	75958286	13927495.5
2015.10	432449080	20963022	82554827	13927495.5
2015.11	193778808	17454222	44953598	13927495.5
2015.12	228146459	27675697	518178310	13927495.5
2016.01	245225203	16458688	36380430	2930129.604
2016.02	388362715	12877513	58292258	2930129.604
2016.03	209285083	29189502	74478038	2930129.604
2016.04	316435730	12116910	48835227	2930129.604
2016.05	438117336	11287269	154882375	2930129.604
2016.06	255945183	69671074	175775417	2930129.604
2016.07	940352768	589786347	151831027	2930129.604
2016.08	1323295677	918821347	323032483	2930129.604
2016.09	1950934786	883822040	314084552	2930129.604
2016.10	1511939600	569852186	216349915	2930129.604
2016.11	1336300111	613792606	224098418	2930129.604
2016.12	3785467318	841408105	326589117	2930129.604
2017.01	2005632295	556250373	335830099	6083946.708
2017.02	1929555736	736964175	283709184	6083946.708
2017.03	1549095530	745064126	267864902	6083946.708
2017.04	1534714090	1509140693	379258185	6083946.708
2017.05	1447902804	908468350	165453246	6083946.708
2017.06	1492423899	800261555	190295371	6083946.708
2017.07	1798597336	1096166020	166906503	6083946.708
2017.08	1167207437	739769659	270059217	6083946.708
2017.09	924635044	1452561546	192794934	6083946.708
2017.10	553866619	772588209	125325211	6083946.708
2017.11	605444822	27738154	173634334	6083946.708
2017.12	518322609	779319322	138437483	6083946.708
2018.01	553866619	836783121	143323437	3780306.967
2018.02	605444822	52118075	197878862	3780306.967
2018.03	500646612	104890664	209464867	3780306.967
2018.04	478460750	170112582	236206175	3780306.967
2018.05	605444822	138770263	220798736	3780306.967
2018.06	499434569	153492893	182000593	3780306.967
2018.07	511558916	148842417	225810849	3780306.967
2018.08	604252357	134193018	221765824	3780306.967
2018.09	490363646	93724711	301437404	3780306.967
2018.10	450022929	92489426	262216773	3780306.967
2018.11	403186916	116823993	300560297	3780306.967
2018.12	414351271	118956247	294930057	3780306.967
2019.01	528116752	149842716	192482697	8527857.667
2019.02	1044488746	119801105	258752680	8527857.667
2019.03	1364078196	133492388	397704173	8527857.667
2019.04	1121921464	120536113	428455834	8527857.667
2019.05	974173119	188566551	395920028	8527857.667
2019.06	1011301153	169683025	325736808	8527857.667
2019.07	1027222950	122682446	226738705	8527857.667
2019.08	1077853133	130740684	431068157	8527857.667
2019.09	914400030	148501948	363979962	8527857.667
2019.10	1025962976	101107262	306329965	8527857.667
2019.11	1243374617	98438198	341971618	8527857.667
2019.12	1269321894	626221878	472690840	8527857.667
2020.01	1122770259	140681855	274223037	6061989.963
2020.02	1185073162	208368212	252923793	6061989.963
2020.03	1011732085	195591024	405598852	6061989.963
2020.04	1022671753	495348719	243544543	6061989.963
2020.05	1044353517	47732813	252296953	6061989.963
2020.06	1246167362	314268036	228559747	6061989.963
2020.07	1187588759	1152474461	203275531	6061989.963
2020.08	1261004830	514976542	146971600	6061989.963
2020.09	1324262305	34623700	202167677	6061989.963
2020.10	1128810608	47512352	110005116	6061989.963
2020.11	1273166270	38214615	159058032	6061989.963
2020.12	1301487346	555517143	178329149	6061989.963
2021.01	1267720391	232970000	82500070	14369440.33
2021.02	1042186956	253155060	120531689	14369440.33
2021.03	1442663036	79432510	159688633	14369440.33
2021.04	1144957186	118646725	177997824	14369440.33
2021.05	899364036	79884100	141936402	14369440.33
2021.06	1083998708	9632313	151158785	14369440.33
2021.07	999515326	24310000	150886812	14369440.33
2021.08	1038867740	28196500	113118097	14369440.33
2021.09	929833816	20687500	146914318	14369440.33
2021.10	916133431	21380500	121356968	14369440.33
2021.11	1037783195	24625500	143727130	14369440.33
2021.12	1022942685	460254700	185205369	14369440.33
2022.01	1160981297	58518050	123042501	19107831.39
2022.02	1128721359	12845767	170073986	19107831.39
2022.03	1019683266	8970906	149492050	19107831.39
2022.04	1009799062	68790000	171211012	19107831.39
2022.05	1175330941	15066000	159854085	19107831.39
2022.06	1335128404	18335122	117705897	19107831.39
2022.07	1373441627	37671000	155046772	19107831.39
2022.08	1319686202	35031000	139607707	19107831.39
2022.09	1052348589	14336140	154692545	19107831.39
2022.10	1007040725	23324033	150778056	19107831.39
2022.11	1070246071	26693000	138098139	19107831.39
2022.12	1173206834	12581938	207799322	19107831.39
2023.01	1270445544	20777300	162547645	6933731.567
2023.02	1420320526	13187585	120969050	6933731.567
2023.03	1377143411	270872095	157012107	6933731.567
2023.04	1537625511	286093257	185571948	6933731.567
2023.05	1661527275	227521090	183443324	6933731.567
2023.06	1753866635	202849730	202854227	6933731.567
2023.07	1753866635	132270137	230044650	6933731.567
2023.08	1579331861	97263266	143347731	6933731.567
2023.09	1475131731	419167620	192193811	6933731.567
2023.10	1353463529	206128784	164927114	6933731.567
2023.11	1371783386	122958391	171866397	6933731.567
2023.12	1448900172	90239471	232647614	6933731.567
2024.01	1481827507	114155344	202622434	26737379.29
2024.02	1401029372	278734930	161994251	26737379.29
2024.03	1572555213	149604673	133077682	26737379.29
2024.04	1836279198	526309446	161163259	26737379.29
2024.05	2157081715	193872519	180586649	26737379.29
2024.06	2143041701	144791231	176854816	26737379.29
2024.07	2317123523	83532383	219753118	26737379.29
2024.08	2529318353	161434726	202944813	26737379.29
2024.09	1976660567	162607956	190098033	26737379.29
2024.10	1930944920	71236750	149718349	26737379.29
2024.11	1910479490	112929957	212037248	26737379.29
2024.12	1753291497	80910965	182327815	26737379.29
