year	purifier_grow	ad_mass	ad_promotion	people_total	launch_number	investment_cost	lease_ratio	water_size
2015	6464	208786791	1,073,921,719	17751	1	167129946	0	6.22E+11
2016	24274	153,942,257	4562200999	22,495	4	140646221	0	8.47572E+11
2017	36200	1158565590	5,665,530,375	23237	2	146014721	0	1.15495E+12
2018	12735	4733887011	4434286094	23655	5	226818418	0.106342813	1.5738E+12
2019	26234	8732633834	3780452835	28515	6	614005752	0.229194337	1.69E+12
2020	19219	3833409472	3821932135	33174	9	654694916	0.193846516	1.77E+12
2021	14608	4702972438	2109003419	30963	5	862166420	0.142626495	2.12E+12
2022	19143	415662956	2102036879	29118	3	687881930	0.097391279	2.36E+12
2023	24448	2147575546	2327196480	24365	5	416023894	0.13142254	2.74E+12
2024	11746	2080759280	2311233012	23874	2	641697103	0.13409573	3.17E+12
