year	purifier_grow	ad_mass	ad_promotion	people_total	invest_launch_ratio	lease_ratio	water_size
2015 	6464 	208786791 	1073921719 	17751 	167129946	0.0000 	622000000000 
2016 	24274 	153942257 	4562200999 	22495 	35161555.25	0.0000 	847572329814 
2017 	36200 	1158565590 	5665530375 	23237 	73007360.5	0.0000 	1154949926474 
2018 	12735 	4733887011 	4434286094 	23655 	45363683.6	0.1063 	1573800000000 
2019 	26234 	8732633834 	3780452835 	28515 	102334292	0.2292 	1690000000000 
2020 	19219 	3833409472 	3821932135 	33174 	72743879.56	0.1938 	1770000000000 
2021 	14608 	4702972438 	2109003419 	30963 	172433284	0.1426 	2120000000000 
2022 	19143 	415662956 	2102036879 	29118 	229293976.7	0.0974 	2360000000000 
2023 	24448 	2147575546 	2327196480 	24365 	83204778.8	0.1314 	2740000000000 
2024 	11746 	2080759280 	2311233012 	23874 	320848551.5	0.1341 	3170000000000
