year	yyyy.mm	purifier_grow	ad_mass	ad_promotion	people_total	invest_launch_ratio	lease_ratio
2015 	2015.01 	638 	13683310 	20112485 	1470 	13927495.5	0.0000000 
2015 	2015.02 	751 	12833930 	23578789 	1404 	13927495.5	0.0000000 
2015 	2015.03 	1100 	32706864 	63586536 	1514 	13927495.5	0.0000000 
2015 	2015.04 	1265 	19934660 	56279152 	1464 	13927495.5	0.0000000 
2015 	2015.05 	676 	17406530 	27711350 	1464 	13927495.5	0.0000000 
2015 	2015.06 	86 	15451185 	36322732 	1402 	13927495.5	0.0000000 
2015 	2015.07 	535 	12278661 	73829053 	1499 	13927495.5	0.0000000 
2015 	2015.08 	-110	16405940 	50756601 	1589 	13927495.5	0.0000000 
2015 	2015.09 	594 	22392770 	75958286 	1535 	13927495.5	0.0000000 
2015 	2015.10 	563 	20963022 	82554827 	1526 	13927495.5	0.0000000 
2015 	2015.11 	16	17454222	44953598	1451	13927495.5	0.0000000 
2015 	2015.12 	350	27675697	518178310	1433	13927495.5	0.0000000 
2016 	2016.01 	285	16458688	36380430	1577	2930129.604	0.0000000 
2016 	2016.02 	359	12877513	58292258	1486	2930129.604	0.0000000 
2016 	2016.03 	460	29189502	74478038	1680	2930129.604	0.0000000 
2016 	2016.04 	643	12116910	48835227	1807	2930129.604	0.0000000 
2016 	2016.05 	585	11287269	154882375	1810	2930129.604	0.0000000 
2016 	2016.06 	715	69671074	175775417	1716	2930129.604	0.0000000 
2016 	2016.07 	3301	589786347	151831027	2082	2930129.604	0.0000000 
2016 	2016.08 	3375	918821347	323032483	2135	2930129.604	0.0000000 
2016 	2016.09 	4331	883822040	314084552	2051	2930129.604	0.0000000 
2016 	2016.10 	3031	569852186	216349915	1945	2930129.604	0.0000000 
2016 	2016.11 	2753	613792606	224098418	1974	2930129.604	0.0000000 
2016 	2016.12 	4436	841408105	326589117	2232	2930129.604	0.0000000 
2017 	2017.01 	4312	556250373	335830099	1735	6083946.708	0.0000000 
2017 	2017.02 	4552	736964175	283709184	1847	6083946.708	0.0000000 
2017 	2017.03 	3883	745064126	267864902	1819	6083946.708	0.0000000 
2017 	2017.04 	4189	1509140693	379258185	1845	6083946.708	0.0000000 
2017 	2017.05 	2775	908468350	165453246	1886	6083946.708	0.0000000 
2017 	2017.06 	3592	800261555	190295371	1899	6083946.708	0.0000000 
2017 	2017.07 	4133	1096166020	166906503	1913	6083946.708	0.0000000 
2017 	2017.08 	2629	739769659	270059217	1873	6083946.708	0.0000000 
2017 	2017.09 	2573	1452561546	192794934	2231	6083946.708	0.0000000 
2017 	2017.10 	1121	772588209	125325211	1995	6083946.708	0.0000000 
2017 	2017.11 	1530	27738154	173634334	2158	6083946.708	0.0000000 
2017 	2017.12 	911	779319322	138437483	2036	6083946.708	0.0000000 
2018 	2018.01 	350	836783121	143323437	1847	3780306.967	0.0000000 
2018 	2018.02 	711	52118075	197878862	1722	3780306.967	0.0000000 
2018 	2018.03 	737	104890664	209464867	2293	3780306.967	0.0000000 
2018 	2018.04 	995	170112582	236206175	2091	3780306.967	0.0144148 
2018 	2018.05 	1229	138770263	220798736	1947	3780306.967	0.0572244 
2018 	2018.06 	1534	153492893	182000593	2317	3780306.967	0.1586773 
2018 	2018.07 	1022	148842417	225810849	1914	3780306.967	0.1330746 
2018 	2018.08 	1920	134193018	221765824	2126	3780306.967	0.0911122 
2018 	2018.09 	1340	93724711	301437404	2089	3780306.967	0.1144715 
2018 	2018.10 	1238	92489426	262216773	1781	3780306.967	0.1879266 
2018 	2018.11 	704	116823993	300560297	1707	3780306.967	0.1445276 
2018 	2018.12 	955	118956247	294930057	1821	3780306.967	0.1267398 
2019 	2019.01 	1441	149842716	192482697	1679	8527857.667	0.1124034 
2019 	2019.02 	1718	119801105	258752680	1805	8527857.667	0.0912925 
2019 	2019.03 	2251	133492388	397704173	2350	8527857.667	0.0863772 
2019 	2019.04 	2024	120536113	428455834	2231	8527857.667	0.2230279 
2019 	2019.05 	2173	188566551	395920028	2332	8527857.667	0.2636766 
2019 	2019.06 	2730	169683025	325736808	2212	8527857.667	0.3214397 
2019 	2019.07 	1530	122682446	226738705	2310	8527857.667	0.3022308 
2019 	2019.08 	1680	130740684	431068157	2200	8527857.667	0.3154424 
2019 	2019.09 	776	148501948	363979962	2208	8527857.667	0.2499069 
2019 	2019.10 	1249	101107262	306329965	2940	8527857.667	0.2619168 
2019 	2019.11 	1908	98438198	341971618	3133	8527857.667	0.2210915 
2019 	2019.12 	2904	626221878	472690840	3115	8527857.667	0.2309795 
2020 	2020.01 	2122	140681855	274223037	3143	6061989.963	0.1914841 
2020 	2020.02 	1809	208368212	252923793	3171	6061989.963	0.1426669 
2020 	2020.03 	957	195591024	405598852	2972	6061989.963	0.1786225 
2020 	2020.04 	1061	495348719	243544543	2864	6061989.963	0.2039438 
2020 	2020.05 	1402	47732813	252296953	2909	6061989.963	0.1775340 
2020 	2020.06 	1744	314268036	228559747	2926	6061989.963	0.2331722 
2020 	2020.07 	1226	1152474461	203275531	2731	6061989.963	0.2000000 
2020 	2020.08 	2088	514976542	146971600	2584	6061989.963	0.1950008 
2020 	2020.09 	1248	34623700	202167677	2453	6061989.963	0.2394882 
2020 	2020.10 	2959	47512352	110005116	2428	6061989.963	0.1725238 
2020 	2020.11 	2774	38214615	159058032	2448	6061989.963	0.1614512 
2020 	2020.12 	1422	555517143	178329149	2545	6061989.963	0.2329242 
2021 	2021.01 	211	232970000	82500070	2375	14369440.33	0.1605247 
2021 	2021.02 	958	253155060	120531689	2433	14369440.33	0.1343880 
2021 	2021.03 	2703	79432510	159688633	2566	14369440.33	0.1503355 
2021 	2021.04 	1841	118646725	177997824	2556	14369440.33	0.1576027 
2021 	2021.05 	2073	79884100	141936402	2524	14369440.33	0.1560633 
2021 	2021.06 	2053	9632313	151158785	2584	14369440.33	0.1959819 
2021 	2021.07 	1883	24310000	150886812	2531	14369440.33	0.1869937 
2021 	2021.08 	1578	28196500	113118097	2590	14369440.33	0.1570563 
2021 	2021.09 	1032	20687500	146914318	2473	14369440.33	0.1482841 
2021 	2021.10 	2009	21380500	121356968	2775	14369440.33	0.0914368 
2021 	2021.11 	994	24625500	143727130	2806	14369440.33	0.0876364 
2021 	2021.12 	-938	460254700	185205369	2750	14369440.33	0.0787470 
2022 	2022.01 	560	58518050	123042501	2812	19107831.39	0.0426129 
2022 	2022.02 	435	12845767	170073986	2899	19107831.39	0.0480068 
2022 	2022.03 	616	8970906	149492050	2952	19107831.39	0.0857542 
2022 	2022.04 	1245	68790000	171211012	2337	19107831.39	0.0637980 
2022 	2022.05 	1646	15066000	159854085	2160	19107831.39	0.1104638 
2022 	2022.06 	1525	18335122	117705897	2216	19107831.39	0.1065374 
2022 	2022.07 	1964	37671000	155046772	2375	19107831.39	0.0942783 
2022 	2022.08 	2129	35031000	139607707	2116	19107831.39	0.1100312 
2022 	2022.09 	1530	14336140	154692545	2150	19107831.39	0.0804795 
2022 	2022.10 	663	23324033	150778056	2272	19107831.39	0.1776044 
2022 	2022.11 	1210	26693000	138098139	2578	19107831.39	0.1437797 
2022 	2022.12 	2008	12581938	207799322	2251	19107831.39	0.1579058 
2023 	2023.01 	1674	20777300	162547645	2094	6933731.567	0.0984872 
